id,heading,publisher,amplifiesdisadvantagedvoice,dispargesdisadvantaged,recognisesintersectionality,provideshumanexamples,focusesonsolutions,firstnations,racialminorities,women,children,youngpeople,unemployedorprecariouslyemployed,peoplewithdisabilitiesorchronichealthconditions,shelter,healthcare_health,familyrelations,violence,voice,work,crime_criminaljustice,inequality,prejudiceanddiscrimination_general
12,The time has come for a reckoning,Fairfax,0.333333333,0,0,0,0.333333333,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
13,Time to heed cry for justice,Fairfax,0.833333333,0,1,1,0.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,Toppling statues challenges history,Fairfax,0.5,0,0.5,0,0.333333333,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,Here's why Black Lives Matter resonates,Others,0.5,0,0,0.5,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
16,Deadly gang hatred needs real response,News,0,1,0,0.5,0.333333333,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
17,Let’s tear it all down at the dawn of Great Awokening,News,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,POLITICS HAS DROWNED OUT THE DEATH OF A BLACK MAN,News,0.166666667,0.5,0.5,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,RACE PANIC GOES TO NEXT LEVEL,News,0.333333333,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Spare me racism lectures from ABC,News,0.166666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,the Advertiser Hard times in US worsened by anarchy,News,0.166666667,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
22,The Advertiser Respect for all,News,0.666666667,0,0.5,0,0.333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,"FROM BLACK LIVES TO SPORT, WE’RE HIGH ON INEQUALITY",News,0,1,0.5,0,0.333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,NOW TAKE ACTION ON RACISM,News,0.333333333,1,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25,Race hustle is powering up,News,0.833333333,1,0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Race politics spurs spread,News,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,The Advertiser SA Award winners show the best of us,News,0.666666667,0,0.5,0,0.333333333,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1
28,TWIGGY DESCRIBES AN AUSTRALIA WE DON’T KNOW,News,0.666666667,0,0,0.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,WEAK GLORIFIED IN OUR CULTURE,News,0.166666667,1,0.5,0.5,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
30,"Clear, strong policies needed to take racism out of the game",Others,0.833333333,0,0,0.5,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,IR package favours business flexibility,Fairfax,0.166666667,0,0.5,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
32,Public housing tenants must be heeded,Fairfax,0.833333333,0,0.5,1,0.666666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33,The people demand refugees be helped,Fairfax,0.5,0,0.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Curfew must offer plan for those with no choice,Fairfax,0.333333333,0,1,0.5,0.666666667,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
35,How to fill the tradie skills gap: women,Fairfax,0.666666667,0,0.5,0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
36,A blanket ban on phones in detention is unacceptable,Others,0.166666667,0,0,0.5,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,It's time to stop demonising the social security system,Others,0.166666667,0,0.5,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
38,"Breaking the culture of dependency, entitlement",News,0.333333333,0.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Vulnerable need help in recovery,News,0.666666667,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,Culture and domestic violence,News,0.666666667,1,1,1,0.666666667,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
41,CULTURE TO BLAME FOR MUCH OF THIS FAMILY VIOLENCE,News,0.833333333,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
42,One word makes a difference,News,1,0.5,0.5,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,A national health problem tougher than COVID-19,Fairfax,0.5,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
44,A paedophile supporter gets OA award,Fairfax,1,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
45,A strong message on youth detention,Fairfax,0.5,0,0,0,0.333333333,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
46,Action on ambulance claims took far too long,Fairfax,0.666666667,0,0,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
47,All areas of sport need more women,Fairfax,0.666666667,0,0.5,0.5,0.666666667,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
48,Ardern's catch of the day: her partner's support,Fairfax,1,0,0.5,1,0.666666667,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
49,Arndt's Order of Australia demeans the awards,Fairfax,1,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Be alert and alarmed about boys' role models,Fairfax,1,0.5,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
51,Bettina Arndt should return Order of Australia,Fairfax,0.5,0.5,0,0.5,0.333333333,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
52,Big donations reap sweet rewards,Fairfax,0.333333333,0,0.5,0.5,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,Breaking a vicious cycle,Fairfax,0.5,1,0.5,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
54,Bringing judges who behave badly to account,Fairfax,0.833333333,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
55,Budget a missed opportunity on sensitive issues,Fairfax,0,0,1,0,0.333333333,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
56,Challenges ahead on mental health,Fairfax,0,0,1,0,0.666666667,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
57,Continuing the fight for women's rights,Fairfax,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
58,Coronavirus risk more than biological,Fairfax,0.333333333,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Courts need to get tougher on sex abuse,Fairfax,0.333333333,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
60,Dead hand of the state will be our JobKiller if we prolong it,Fairfax,0,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
61,"Depp, Heard and the deterrence factor",Fairfax,1,0,0,1,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
62,Disabled must not bear cost of hit to budget surplus,Fairfax,0.166666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
63,Don't play tricks with the NDIS,Fairfax,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Everyone wins with new social housing,Fairfax,0.333333333,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
65,"Fierce, fabulous and flawed",Fairfax,0.833333333,1,0,1,0.333333333,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
66,Fiscal stimulus key to stem jobless increase,Fairfax,0.166666667,0.5,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
67,Former Liberal staffer laments her silence,Fairfax,1,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Foundation for recovery comes at a bearable cost,Fairfax,0.166666667,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
69,From 'no case' to $1.2 billion settlement: How robo-debt scheme went so wrong,Fairfax,0.5,0,0.5,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Good social housing needs more than millions,Fairfax,0.666666667,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
71,Here we go again - sacrificing the heart and soul of our city,Fairfax,0.166666667,0,0,0,0.666666667,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,Hidden figures mask jobs horror,Fairfax,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,I tried ice aged 63 and got addicted,Fairfax,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
74,"Investing in public housing, and lives",Fairfax,0.333333333,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
75,It's taken far too long to rectify robo-debt,Fairfax,0.666666667,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
76,Job path is an uphill struggle,Fairfax,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
77,Jobless sole parents face cash crux,Fairfax,0.333333333,0.5,1,0,0.666666667,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
78,Make visible to justice women's hidden hell,Fairfax,0.833333333,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
79,Male champions with an image problem,Fairfax,0.333333333,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
80,Missing middle' leaves too many in the dark,Fairfax,0,0.5,1,0.5,0.333333333,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
81,No Australian life is expendable,Fairfax,0,0,0.5,0,0.333333333,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
82,Older people's lives shouldn't count less,Fairfax,0.833333333,0,1,1,0.333333333,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
83,Patching over a culture problem,Fairfax,0.833333333,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
84,Paternity leave a path to equality,Fairfax,0.5,0,0,1,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
85,Pension for all? Seniors call to scrap means test,Fairfax,0.833333333,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Raise wages, help recovery",Fairfax,0.5,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
87,Reconciliation at heart of issue,Fairfax,0.833333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Rising inequality can't be ignored,Fairfax,0.333333333,0,1,0,0.666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
89,Ryan's optimism and vision sorely needed today,Fairfax,0.833333333,0,0.5,0.5,0.666666667,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1
90,Shore challenges won't earn entry to adult world,Fairfax,0,0,1,1,0.333333333,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
91,Single parents now at risk of serious hardship,Fairfax,0.166666667,0,1,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,Slow and steady on post-virus cutbacks,Fairfax,0.166666667,0,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
93,So JobKeeper stays. Then what?,Fairfax,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
94,Social housing boost deserves praise,Fairfax,0.833333333,0,1,1,0.666666667,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
95,Staged return fails the test for HSC students,Fairfax,0.666666667,0,1,0,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
96,Terrific coach - may women succeed him,Fairfax,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
97,The good news on police and family violence,Fairfax,1,0,0,0.5,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
98,The great Australian betrayal,Fairfax,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
99,The hardest thing Morrison will ever do comes next,Fairfax,0.333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,The planet's greatest human rights violation is men harming women,Fairfax,0.166666667,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
101,The rights older workers don't know they have,Fairfax,0.5,0,0.5,0,0.333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,Timely moves to ease legal burden on abuse victims,Fairfax,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
103,Too much banking is bad for you,Fairfax,0.166666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,True leadership means not turning a blind eye,Fairfax,0.833333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
105,We have a lethal 'bloke blindspot',Fairfax,1,0,0.5,1,0.666666667,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
106,We must get our mojo working,Fairfax,0.166666667,0,0,0,0.666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,We must get women back to work,Fairfax,0.833333333,0,0,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
108,Weinstein verdict is ultimately an unsatisfactory victory,Fairfax,1,0,0,0.5,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Weinstein's lawyer gives the saddest defence of sexual assault,Fairfax,1,0.5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"Women are losing ground, not holding it",Fairfax,1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
111,Women key to economic recovery,Fairfax,0.5,0,0,0.5,0.666666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
112,Words that hurt: What's in a name?,Fairfax,0.833333333,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
113,A signpost to Victoria's conflicted past,Fairfax,0.166666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,A special Sydney place shows why history matters,Fairfax,0.833333333,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Anthem in Dharug nation-changing,Fairfax,0.833333333,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Appointment reveals board's tin ear,Fairfax,0.5,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Australia is not immune from US-style tension,Fairfax,0.5,0,0.5,0.5,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
118,Bad name for new airport won't fly,Fairfax,0.833333333,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Band of brothers: Aboriginal men and veterans form an unlikely bond in the face of trauma,Fairfax,0.833333333,1,0.5,0.5,0.666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120,Cathy Freeman gave us more than gold,Fairfax,0.833333333,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
121,Chill wind blows around icons frozen in time,Fairfax,0.666666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
122,Closing the gap needs real reform,Fairfax,0.833333333,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,Cook events should carry Indigenous voice,Fairfax,0.666666667,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,Day of reckoning for the nation,Fairfax,1,0,0.5,1,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,Drug use not just an inner-city issue,Fairfax,0.166666667,0,1,0.5,0.666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,Ensuring protesters tread a safe path,Fairfax,0.166666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
127,Equality doesn't apply in quarantine,Fairfax,0.5,0,0.5,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
128,First Peoples sing with one voice - at last the NRL hears,Fairfax,0.833333333,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,How to cut Indigenous prison rates - fast,Fairfax,0.5,0.5,1,0,0.666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
130,"If you can't hear her, she'll work even harder",Fairfax,1,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,Indigenous women at high risk in crisis,Fairfax,0.833333333,0,1,0.5,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1
132,Jailing is failing: Sydney doesn't need a new one,Fairfax,0.5,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
133,Missing the target,Fairfax,0.666666667,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
134,Navigating the tensions of the past,Fairfax,0.833333333,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
135,Need for accountability on robo-debt,Fairfax,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,New Closing the Gap agreement won't deliver,Fairfax,0.833333333,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
137,Public drunkenness is not a crime,Fairfax,0.5,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
138,Retirees have a right to enjoy the roses,Fairfax,0.5,0,1,0,0.333333333,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
139,The gaping hole that widens the gap: housing,Fairfax,0.833333333,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
140,"The law betrays the lore, so we'll destroy it again",Fairfax,0.666666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"To close this shameful chasm, PM, first you'll need to hear our Voice",Fairfax,0.833333333,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
142,Tradition can take us forward,Fairfax,0.666666667,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,Traditional ways can take us forward,Fairfax,0.666666667,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Unheard voices become riotous roars,Fairfax,1,0,0.5,0.5,0.666666667,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
145,Vincent Namatjira's win is a great Archibald story,Fairfax,1,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
146,Violence and death at end of long chain,Fairfax,0.833333333,0.5,1,0.5,0.666666667,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
147,We know what needs to be done,Fairfax,0.833333333,0,1,0.5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
148,What it will take to make Black Lives Matter,Fairfax,0.833333333,0,0,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
149,Which team are you on with racism?,Fairfax,0.833333333,0,0.5,1,0.666666667,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
150,Wrestling with history of the victors,Fairfax,0.833333333,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
151,A real chance to address mental health,Others,0.166666667,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
152,Can we work towards a V-shaped educational recovery?,Others,0,0,1,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Equal representation first step on path to necessary changes,Others,0.833333333,0,0,0.5,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
154,It's time for a royal commission,Others,1,0,0,0.5,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
155,Prison is rarely just about the time served,Others,0,0,1,0,0.333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
156,This crash has hurt women most,Others,1,0,1,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
157,Who decides who gets the gongs?,Others,0.833333333,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
158,"Why do we blame the jobless, but not greedy CEOs?",Others,0.333333333,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
159,A better way than just locking up,Others,0.666666667,0,0.5,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
160,"As we reflect on Black Lives Matter, justice reinvestment shows there can be a better way",Others,0.6,0,1,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,Employment numbers don't stack up,Others,0.333333333,0,1,0,0.333333333,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
162,"If you want to put children first, register social workers",Others,0.166666667,0,1,1,0.333333333,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
163,Let's call it a wrap on the shocker of a year that was 2020,Others,0,0,0.5,0,0.666666667,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
164,Stop taking away Indigenous kids,Others,0.833333333,0,1,0.5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
165,The time for a new future is here,Others,1,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166,A jobs survey provides hope of a faster recovery,News,0.333333333,0,0,0,0.666666667,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
167,Albanese’s budget speech blues far from in the pink,News,0.333333333,0,0.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
168,"BALL IS IN PREMIERS’ COURT: WE MUST REOPEN, AND QUICKLY",News,0.166666667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
169,BLEAK TIMES BLEAKER STILL FOR THE YOUNG,News,0,0,1,1,0.333333333,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
170,BLUE-COLLAR JOBS ARE WORTHY TOO,News,0,0,0.5,0,0.666666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
171,Compelling story shines a light,News,0.666666667,0,0,1,0.333333333,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
172,DEFECTS IN JOBS FOR ALL,News,0,0,0.5,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
173,EDITOR'S LETTER,News,0.833333333,0,0,1,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
174,Fairness is another casualty,News,0.5,0,0,0.5,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
175,Flattening curve while not obliterating our economy,News,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,GOLD-PLATED OPPORTUNITY IN OUR LITIGATION NATION,News,0.2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
177,"Great in a crisis, Australia cannot lose it in recovery",News,0.333333333,0,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
178,Herald Sun,News,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
179,Herald Sun,News,0.666666667,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
180,HOW MUCH OF OUR VILLAGE DO WE BURN TO CONTAIN THIS?,News,0,0,0.5,0,0.333333333,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
181,IS SOCIAL HOUSING WORTH THE COST?,News,0.166666667,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
182,Learning harsh economic lessons during pandemic,News,0.166666667,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
183,Lives matter too much to be put at risk by protesters,News,0.5,0,1,0.5,0.666666667,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
184,MANAGE RISK FOR SOCIETY’S REWARD,News,0,0,0.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
185,ONLINE CHILD SEX ABUSE SHAMES US,News,0.166666667,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
186,PAYING UP WILL PAY OFF,News,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
187,PERHAPS OUR AGED-CARE SYSTEM IS NOT IN SO MUCH CRISIS,News,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
188,STREWTH,News,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
189,SUPER CHANCE FOR A POLICY RETHINK,News,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Swans send message with Taylor stance,News,0,0,0,0.5,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
191,"The Advertiser A time for answers, not excuses",News,0,0,0,0.5,0.666666667,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
